B cell hubs	T cell hubs	Myeloid hubs	LC_genes
ABCA3	1	0	0	FALSE
ABCA6	0	0	1	FALSE
ACAA1	0	0	1	FALSE
ACAA2	0	0	1	FALSE
ACAD9	0	0	1	FALSE
ACADVL	1	0	1	FALSE
ACAT1	1	0	1	FALSE
ACOT8	0	0	1	FALSE
ACTB	1	1	1	FALSE
ALDH2	0	0	1	FALSE
ALDOA	1	0	1	TRUE
ANLN	0	1	0	FALSE
ANXA2	0	0	1	FALSE
APOE	0	0	1	FALSE
ASF1B	0	1	0	FALSE
ATF4	1	0	0	FALSE
AURKA	0	1	0	FALSE
AURKAIP1	1	0	1	FALSE
B2M	1	1	1	FALSE
B4GALT2	1	0	0	FALSE
B4GALT3	1	0	0	FALSE
BARD1	0	1	0	FALSE
BCS1L	0	0	1	FALSE
BIRC5	0	1	0	TRUE
BLM	0	1	0	FALSE
BRCA1	0	1	0	FALSE
BTF3	1	0	0	FALSE
BUB1	0	1	0	FALSE
BUB1B	0	1	0	TRUE
C1QA	0	0	1	FALSE
C1QB	0	0	1	FALSE
C1QC	0	0	1	FALSE
CA2	0	0	1	FALSE
CALM2	1	0	0	FALSE
CANX	0	0	1	FALSE
CASP1	0	0	1	FALSE
CCL17	0	0	1	FALSE
CCL2	0	0	1	TRUE
CCL20	0	0	1	FALSE
CCL3	0	0	1	FALSE
CCL8	0	0	1	FALSE
CCNA2	0	1	0	FALSE
CCNB1	0	1	0	FALSE
CCNB2	0	1	0	FALSE
CCNE2	0	1	0	FALSE
CCR2	0	0	1	TRUE
CCR7	1	1	0	FALSE
CCT8	1	0	1	FALSE
CD14	0	0	1	FALSE
CD1A	0	0	1	FALSE
CD1C	0	0	1	FALSE
CD1D	0	0	1	TRUE
CD209	0	0	1	FALSE
CD244	0	1	0	FALSE
CD27	0	1	0	FALSE
CD274	0	0	1	TRUE
CD38	1	1	0	FALSE
CD4	0	0	1	TRUE
CD48	1	0	0	FALSE
CD53	0	0	1	FALSE
CD74	1	0	1	FALSE
CD80	0	0	1	FALSE
CD84	0	0	1	FALSE
CD86	0	0	1	FALSE
CDC20	0	1	0	FALSE
CDC25C	0	1	0	FALSE
CDC42	0	0	1	FALSE
CDC7	0	1	0	FALSE
CDCA3	0	1	0	FALSE
CDCA5	0	1	0	FALSE
CDCA8	0	1	0	FALSE
CDK1	0	1	0	TRUE
CDK2	0	1	0	FALSE
CDKN3	0	1	0	FALSE
CENPL	0	1	0	FALSE
CENPN	0	1	0	FALSE
CENPU	0	1	0	FALSE
CEP55	0	1	0	FALSE
CFL1	0	0	1	FALSE
CHCHD1	1	0	0	FALSE
CHEK1	0	1	0	TRUE
CKS2	0	1	0	FALSE
CLEC10A	0	0	1	FALSE
CLSPN	0	1	0	FALSE
COA1	1	0	0	FALSE
COA3	1	0	1	FALSE
COA5	0	0	1	FALSE
COA6	0	0	1	FALSE
COA7	0	0	1	FALSE
COPE	0	0	1	FALSE
COQ4	1	0	0	FALSE
COQ7	1	0	0	FALSE
COX11	1	1	0	FALSE
COX14	1	0	1	FALSE
COX15	0	0	1	TRUE
COX4I1	1	1	1	FALSE
COX5A	1	0	0	FALSE
COX6A1	1	0	1	FALSE
COX6B1	1	1	1	FALSE
COX6C	1	1	1	FALSE
COX7A2L	1	0	1	FALSE
COX7B	1	0	1	FALSE
COX7C	1	0	1	FALSE
COX8A	1	0	1	FALSE
CPM	0	0	1	FALSE
CS	0	0	1	FALSE
CXCL10	0	0	1	FALSE
CXCL11	0	0	1	FALSE
CXCL9	0	0	1	FALSE
CYC1	1	0	1	FALSE
CYCS	1	0	1	FALSE
DAP3	1	1	1	FALSE
DDX28	0	0	1	FALSE
DDX5	1	1	0	FALSE
DECR2	0	0	1	FALSE
DEPDC1	0	1	0	TRUE
DHRS4	0	0	1	FALSE
DKC1	0	1	1	FALSE
DLD	0	0	1	FALSE
DNA2	0	1	0	FALSE
DNAJB11	1	0	0	FALSE
DNAJB9	1	0	0	FALSE
DNAJC11	1	0	0	FALSE
DTL	0	1	0	FALSE
ECH1	1	1	1	FALSE
ECHS1	1	0	1	FALSE
ECSIT	1	0	0	FALSE
EEF1A1	1	1	1	FALSE
EEF2	1	1	1	FALSE
EIF1	1	0	1	FALSE
EIF3E	1	0	0	FALSE
EIF3F	1	0	0	FALSE
EIF3H	1	1	1	TRUE
EIF3I	1	0	0	FALSE
EIF3K	1	0	0	FALSE
EIF3L	1	0	0	FALSE
EIF4B	1	0	0	FALSE
ERAL1	0	0	1	FALSE
ERCC4	0	1	0	FALSE
ETFA	0	0	1	FALSE
EXO1	0	1	0	FALSE
FANCB	0	1	0	FALSE
FANCI	0	1	0	FALSE
FAU	1	1	1	FALSE
FBL	1	1	0	FALSE
FBXO5	0	1	0	FALSE
FECH	0	0	1	FALSE
FEN1	0	1	0	FALSE
FLNA	0	0	1	FALSE
FOXM1	0	1	0	TRUE
FOXP3	0	1	0	TRUE
FOXRED1	0	0	1	FALSE
FTL	0	0	1	FALSE
FUNDC1	0	0	1	FALSE
